Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
RTEST (Rana Test)  User Group:GET myt.ucmerced.edu,1,4920,4920,4920,4920,4920,4920,4920,0.00%,.2,4.7
RTEST (Rana Test)  User Group:GET CAS Login Page,1,297,297,297,297,297,297,297,0.00%,3.4,1250.2
RTEST (Rana Test)  User Group:POST CAS Logged In Page,1,165,165,165,165,165,165,165,0.00%,6.1,43.7
RTEST (Rana Test)  User Group:GET  CA Dream Loan Entrance Counseling - Financial Aid Document Upload,1,329,329,329,329,329,329,329,0.00%,3.0,26.5
RTEST (Rana Test)  User Group:POST  CA Dream Loan Entrance Counseling - Financial Aid Document Upload,1,12504,12504,12504,12504,12504,12504,12504,0.00%,.1,.4
RTEST (Rana Test)  User Group:GET  Discrepancy between SSN on FAFSA and UCM App - Financial Aid Document Upload,1,61,61,61,61,61,61,61,0.00%,16.4,124.7
RTEST (Rana Test)  User Group:POST  Discrepancy between SSN on FAFSA and UCM App - Financial Aid Document Upload,1,12284,12284,12284,12284,12284,12284,12284,0.00%,.1,.4
RTEST (Rana Test)  User Group:GET  Title IV Authorizations Sheet - Financial Aid Document Upload,1,55,55,55,55,55,55,55,0.00%,18.2,137.8
RTEST (Rana Test)  User Group:POST  Title IV Authorizations Sheet - Financial Aid Document Upload,1,12428,12428,12428,12428,12428,12428,12428,0.00%,.1,.4
RTEST (Rana Test)  User Group:GET  Award Terms and Conditions 2016-17 - Financial Aid Document Upload,1,50,50,50,50,50,50,50,0.00%,20.0,151.5
RTEST (Rana Test)  User Group:POST  Award Terms and Conditions 2016-17 - Financial Aid Document Upload,1,12397,12397,12397,12397,12397,12397,12397,0.00%,.1,.4
RTEST (Rana Test)  User Group:GET  Parent Asset Worksheet - Document Upload ,1,60,60,60,60,60,60,60,0.00%,16.7,126.1
RTEST (Rana Test)  User Group:POST  Parent Asset Worksheet - Financial Aid Document Upload,1,11659,11659,11659,11659,11659,11659,11659,0.00%,.1,.4
RTEST (Rana Test)  User Group:GET  Problem Matching Name to FAFSA - Financial Aid Document Upload,1,50,50,50,50,50,50,50,0.00%,20.0,151.6
RTEST (Rana Test)  User Group:POST  Problem Matching Name to FAFSA - Financial Aid Document Upload,1,12343,12343,12343,12343,12343,12343,12343,0.00%,.1,.4
RTEST (Rana Test)  User Group:GET  Award Terms and Conditions 2015-16 - Financial Aid Document Upload,1,62,62,62,62,62,62,62,0.00%,16.1,122.1
RTEST (Rana Test)  User Group:POST  Award Terms and Conditions - Financial Aid Document Upload,1,12270,12270,12270,12270,12270,12270,12270,0.00%,.1,.4
RTEST (Rana Test)  User Group:GET  Name is not matching to Dream Application - Financial Aid Document Upload,1,47,47,47,47,47,47,47,0.00%,21.3,161.8
RTEST (Rana Test)  User Group:POST  Name is not matching to Dream Application - Financial Aid Document Upload,1,12230,12230,12230,12230,12230,12230,12230,0.00%,.1,.4
RTEST (Rana Test)  User Group:GET  AB 540 -Registrar Document Upload,1,46,46,46,46,46,46,46,0.00%,21.7,163.7
RTEST (Rana Test)  User Group:POST  AB 540 - Registrar Document Upload,1,12229,12229,12229,12229,12229,12229,12229,0.00%,.1,.4
RTEST (Rana Test)  User Group:GET Reclassification Documentation -Registrar Document Upload,1,50,50,50,50,50,50,50,0.00%,20.0,151.5
RTEST (Rana Test)  User Group:POST Reclassification Documentation -Registrar Document Upload,1,12243,12243,12243,12243,12243,12243,12243,0.00%,.1,.4
TOTAL,23,5599,329,12397,12428,12504,46,12504,0.00%,.2,4.0
